day,x,y,z
0,-1.4551945896036124E11,-3.615009579650697E10,8471322.958623562
1,-1.4034204975124722E11,-4.097495964113689E10,8542790.212782135
2,-1.3512005579658205E11,-4.578638427711319E10,8613639.168829711
3,-1.2985191437373251E11,-5.05817162993049E10,8683797.365384392
4,-1.245362465567029E11,-5.535803799117164E10,8753187.620878307
5,-1.1917191566533766E11,-6.011218426418173E10,8821728.880611174
6,-1.1375808999575761E11,-6.484077006514695E10,8889337.32372325
7,-1.0829430624497774E11,-6.954023233854346E10,8955927.7986038
8,-1.0278052926983667E11,-7.420688805363873E10,9021415.58953193
9,-9.721720309426952E10,-7.883700816849419E10,9085718.475148872
10,-9.16052877369229E10,-8.342690559074826E10,9148758.996035576
11,-8.594627674651022E10,-8.797303322085378E10,9210466.80638015
12,-8.024219146195297E10,-9.24720863016996E10,9270780.950912578
13,-7.449554994783015E10,-9.692110192424846E10,9329651.891462421
14,-6.8709311078006035E10,-1.0131754801261107E11,9387043.114280049
15,-6.2886796950584274E10,-1.056593946602622E11,9442932.181749541
16,-5.703159921655702E10,-1.099451623101353E11,9497311.146348663
17,-5.11474765315229E10,-1.1417394370872168E11,9550186.311080799
18,-4.523825090552902E10,-1.1834539936708475E11,9601577.38646536
19,-3.9307710191962845E10,-1.2245972891167734E11,9651516.147760103
20,-3.3359522527739056E10,-1.2651762276384285E11,9700044.730118755
21,-2.739716657976272E10,-1.3052019979042229E11,9747213.712426085
22,-2.1423879374764584E10,-1.3446893687747896E11,9793080.135443576
23,-1.5442621634493694E10,-1.383655959347672E11,9837705.580899065
24,-9.45605912252726E9,-1.4221215288477008E11,9881154.409451991
25,-3.4665576114611177E9,-1.460107319935028E11,9923492.2216481
26,2.5238113319336166E9,-1.4976354768762473E11,9964784.572425636
27,8.513256569641992E9,-1.534728549297674E11,1.0005095941560905E7
28,1.4500248208698074E10,-1.5714090837310333E11,1.0044488942836562E7
29,2.048349520742373E10,-1.6076992990810907E11,1.0083023744126309E7
30,2.646192152465012E10,-1.64362083829883E11,1.012075766713596E7
31,3.2434642130958923E10,-1.679194586528781E11,1.0157744936311862E7
32,3.840093981457703E10,-1.7144405453477625E11,1.0194036548904672E7
33,4.436024339323047E10,-1.7493777529863138E11,1.02296802409996E7
34,5.031210769041457E10,-1.7840242412601074E11,1.0264720527151464E7
35,5.6256195445163574E10,-1.818397021061834E11,1.0299198794174109E7
36,6.219226118935426E10,-1.8525120894827283E11,1.033315343267055E7
37,6.812013703540735E10,-1.886384452823922E11,1.0366619992938073E7
38,7.403972025990846E10,-1.9200281608501505E11,1.0399631354755227E7
